id,type,state,created_at,updated_at,title,description,close_at,total_class_hours,keywords
213917,COURSE,HIDDEN,2022-11-04 4:57,2023-09-12 11:39,디자인 레벨원 : -213917,디자인 레벨원 : ,NULL,4,NULL
213916,COURSE,HIDDEN,2022-11-04 4:57,2023-09-12 11:41,엑셀 레벨원 :  -213916,엑셀 레벨원 : 직,NULL,3,NULL
213915,COURSE,HIDDEN,2022-11-04 4:56,2023-12-26 5:42,데이터분석 레벨원 -213915,데이터분석 레벨원 ,NULL,10,NULL
213914,COURSE,HIDDEN,2022-11-04 4:56,2023-09-12 11:42,딥러닝 레벨원 : -213914,딥러닝 레벨원 : ,NULL,9,NULL
213913,COURSE,HIDDEN,2022-11-04 4:55,2023-11-16 8:44,코딩 레벨원 : M-213913,코딩 레벨원 : M,NULL,9,NULL
213905,COURSE,ONGOING,2022-11-04 1:03,2023-11-20 1:36,초격차 패키지 : -213905,"21개 프로젝트, ",NULL,85,"인터랙티브,웹개발,프로젝트,프론트엔드,frontend,HTML,자바스크립트,JAVASCRIPT,WEBGL,3D,2D,VR,AR,메타버스,인터랙티브웹,포트폴리오,네카라쿠배,토스,프론트엔드심화,UX,UI,유저인터랙션,반응형,블렌더,초격차"
213894,COURSE,ONGOING,2022-11-03 3:09,2023-11-20 1:36,글로벌 DeFi 팀-213894,DeFi 특화 커리,NULL,23,"DeFi,블록체인금융,디파이,블록체인,디파이강의,defi,DeFi강의,모의해킹,해킹,블록체인실습,블록체인이론,디파이실습,컨트랙트,컨트랙트보안,solidity,솔리디티,솔리디티강의,비트코인,암호화폐,blockchain"
213875,COURSE,ONGOING,2022-11-02 6:41,2022-12-02 0:58,(B2G) K-Di-213875,NULL,NULL,NULL,NULL
213874,COURSE,ONGOING,2022-11-02 6:28,2022-11-16 5:23,(B2G) K-Di-213874,,NULL,53,
213873,COURSE,ONGOING,2022-11-02 6:24,2022-11-16 4:45,(B2G) K-Di-213873,NULL,NULL,NULL,NULL
213872,COURSE,ONGOING,2022-11-02 6:12,2022-11-16 4:44,(B2G) K-Di-213872,NULL,NULL,NULL,NULL
213871,COURSE,ONGOING,2022-11-02 5:57,2022-11-16 5:08,(B2G) K-Di-213871,NULL,NULL,40,NULL
213870,COURSE,ONGOING,2022-11-02 5:46,2022-11-16 4:52,(B2G) K-Di-213870,NULL,NULL,75,NULL
213869,COURSE,ONGOING,2022-11-02 5:43,2022-11-16 4:48,(B2G) K-Di-213869,NULL,NULL,61,NULL
213868,COURSE,ONGOING,2022-11-02 5:39,2022-11-16 4:21,(B2G) K-Di-213868,NULL,NULL,33,NULL
213866,COURSE,ONGOING,2022-11-02 5:10,2022-11-16 4:55,(B2G) K-Di-213866,NULL,NULL,NULL,NULL
213863,COURSE,HIDDEN,2022-11-02 3:20,2023-06-20 23:44,스타트업 마케터로 -213863,데이터 분석부터 인,NULL,33,"퍼포먼스마케팅,GA,GTM,파이썬,SQL,태블로,데이터,데이터마케팅,온라인마케팅,디지털마케팅,스타트업마케팅,마케팅,마케팅실습"
213836,COURSE,ONGOING,2022-10-28 13:28,2023-11-29 4:36,36개의 프로젝트로-213836,사례 기반으로 제작,NULL,44,"M&A,시뮬레이션,프로젝트,M&A실무,협상,전략,M&A이슈,비하인드,질의응답,실습,가치평가,PMI,심화,실무"
213833,COURSE,ONGOING,2022-10-28 5:28,2023-12-29 4:51,CLASS : 폭발-213833,"PR, 홍보, 카피",NULL,5,"콘텐츠,콘텐츠제작,콘텐츠마케팅,글쓰기,홍보,PR,실무스킬,실무,전략적글쓰기,성공방정식,성공하는콘텐츠,홍보전략,마케팅전략,SNS마케팅,온드미디어"
213780,COURSE,ONGOING,2022-10-26 4:28,2023-12-05 4:54,혁펜하임의 AI D-213780,"카이스트 박사, 삼",NULL,15,"혁펜하임,AI,딥러닝,딥러닝입문,딥러닝기초"
213759,COURSE,HIDDEN,2022-10-25 0:31,2023-05-24 5:04,AWS 데이터 인프-213759,실시간 데이터 파이,NULL,93,"spark,kafka,flink,airflow,devops,데이터,AWS,aws,Aws,kubernetes,docker,elastic,데이터 엔지니어링,엘라스틱,카프카,데브옵스,데이터엔지니어,데이터엔지니어링,스파크,azure,파이프라인,쿠버,클라우드,보안,데이터베이스,플링크,에어플로우"
213752,COURSE,ONGOING,2022-10-24 5:03,2024-01-24 12:37,네오아카데미 : 완-213752,초보탈출 단기 압축,NULL,10,"네오아카데미,완케,기초,입문,wanke,빠른성장,입문자,캐주얼일러스트,일러스트드로잉,캐주얼,캐릭터,일러스트,드로잉,네오,일러스트기초,포토샵,채색,선화,그림,초보탈출,기초첫걸음,일러스트레이터,게임그래픽"
